tenure_months,monthly_charge,total_charges,support_tickets,late_payments,avg_monthly_usage_gb,contract_type,payment_method,internet_service,has_streaming,has_security_pack,num_products,region,customer_age,is_promo
31,82.0,2542.0,3,0,55.32,mensual,debito,fibra,1,1,4,oeste,67,1
27,77.5,2092.5,1,1,24.89,mensual,transferencia,movil,0,1,3,sur,25,0
6,81.66,489.96,1,0,79.15,anual,transferencia,ninguno,1,1,3,sur,72,1
39,67.63,2637.57,1,0,152.24,mensual,efectivo,movil,1,1,1,sur,62,0
44,88.53,3895.32,2,0,105.23,mensual,credito,fibra,1,0,2,sur,18,1
35,47.49,1662.15,2,1,58.44,anual,efectivo,fibra,0,1,2,norte,25,0
28,109.97,3079.16,2,2,123.2,mensual,debito,fibra,1,1,3,oeste,70,0
8,79.82,638.56,1,1,141.26,bianual,debito,fibra,1,1,4,oeste,51,0
36,35.65,1283.4,0,0,118.14,mensual,debito,fibra,1,1,4,centro,43,0
29,63.56,1843.24,1,1,126.19,anual,transferencia,fibra,1,0,4,sur,73,1
20,55.79,1115.8,1,1,125.31,bianual,credito,fibra,0,0,3,centro,43,0
33,78.53,2591.49,4,1,112.36,mensual,transferencia,ninguno,1,1,2,centro,20,0
16,98.38,1574.08,1,2,102.22,mensual,credito,fibra,0,1,1,norte,59,0
2,38.01,76.02,3,0,116.86,mensual,credito,fibra,1,0,4,centro,27,1
48,94.98,4559.04,4,2,83.11,mensual,efectivo,movil,0,0,4,centro,25,0
52,45.76,2379.52,1,2,146.85,mensual,transferencia,fibra,0,0,1,oeste,77,1
8,78.91,631.28,1,0,132.68,mensual,credito,movil,1,1,1,norte,30,0
39,104.03,4057.17,0,3,80.72,mensual,debito,fibra,1,0,1,centro,27,1
11,68.91,758.01,1,1,164.04,anual,debito,fibra,1,1,2,centro,60,1
8,108.0,864.0,1,2,125.39,mensual,debito,ninguno,0,0,1,centro,78,0
36,82.52,2970.72,1,0,128.59,bianual,efectivo,fibra,1,0,2,centro,77,0
9,69.52,625.68,1,1,123.1,bianual,debito,cable,0,0,3,oeste,60,1
34,70.53,2398.02,1,2,99.25,anual,debito,movil,1,1,1,oeste,63,0
23,90.46,2080.58,2,0,195.54,mensual,debito,cable,1,0,1,norte,31,0
16,58.25,932.0,3,0,209.47,mensual,debito,fibra,1,1,2,sur,78,1
35,27.11,948.85,4,2,201.46,mensual,debito,fibra,1,0,2,centro,54,0
20,70.55,1411.0,1,3,89.35,anual,efectivo,ninguno,1,0,3,sur,59,0
39,66.3,2585.7,1,1,167.14,mensual,efectivo,cable,1,1,1,centro,22,0
12,65.04,780.48,3,3,90.45,mensual,credito,fibra,0,0,1,oeste,58,0
16,96.48,1543.68,4,0,152.42,anual,efectivo,fibra,0,1,1,centro,62,1
7,89.57,626.99,1,1,191.96,mensual,debito,movil,1,0,2,centro,49,0
1,123.19,123.19,0,0,161.51,anual,transferencia,movil,0,1,3,centro,73,0
29,105.93,3071.97,3,1,201.13,mensual,transferencia,fibra,0,1,3,oeste,22,1
21,41.48,871.08,0,3,105.59,mensual,credito,ninguno,0,0,2,centro,26,1
7,104.01,728.07,2,2,118.87,mensual,transferencia,fibra,1,1,4,oeste,21,1
20,52.33,1046.6,2,1,47.04,mensual,credito,cable,1,0,2,oeste,61,1
48,58.47,2806.56,2,0,121.45,mensual,credito,fibra,0,0,2,centro,35,0
38,58.54,2224.52,0,1,39.06,bianual,efectivo,fibra,1,0,2,sur,28,1
20,76.41,1528.2,3,2,53.44,anual,transferencia,fibra,0,0,1,centro,30,1
25,72.54,1813.5,1,2,150.4,anual,credito,movil,1,1,4,sur,48,0
20,76.02,1520.4,3,0,119.77,mensual,credito,movil,1,0,1,centro,76,0
45,89.88,4044.6,1,4,162.93,mensual,debito,cable,1,0,3,centro,24,1
28,61.53,1722.84,2,1,36.29,mensual,transferencia,cable,1,1,2,centro,21,0
15,104.1,1561.5,0,0,66.59,mensual,debito,movil,1,1,4,sur,72,0
22,63.13,1388.86,2,3,96.76,anual,transferencia,cable,0,1,4,norte,23,1
